,beta_2_microglobulin,c_erb_b_2_her2_3b5,c_erb_b_2_her2_d8f12,caveolin_1,cd11c,cd134,cd140b_pdgf_receptor_beta,cd15,cd16,cd163,cd20,cd278_icos,cd279_pd_1,cd3,cd31_v_wf,cd38,cd4,cd45,cd45ra,cd57,cd68,cd8a,cleaved_caspase3,cxcl12_sdf_1,cytokeratin_5,cytokeratin_8_18,dna1,dna2,estrogen_receptor_alpha,foxp3,fsp1,gitr_tnfrsf18,histone_h3,hla_abc,hla_dr,ki_67,pan_cytokeratin,podoplanin,sma
cd20,0.592416607148968,0.49957084328183377,0.5706290360985604,0.7524929320423052,0.5284383764526749,0.5044843032395827,0.42322044278770454,0.6052524126767933,0.6087109578231128,0.8411548029718955,1.0,0.6454996618923254,0.5721202938141609,0.7442198870361373,0.5322963818972782,0.7430836199042846,0.7939698228037699,0.6585289766038359,0.7182206864122188,0.6234176797560854,0.6738645794108937,0.6750308366305549,0.5586026273210779,0.6768864583306489,0.7119455182468768,0.6323172323200371,0.6946432273313982,0.523876191280424,0.7199562998152949,0.43501522548332794,0.40474546991752663,0.7562209564668464,0.43699785556488435,0.5169459638430056,0.6262506043416226,0.478230150909954,0.6288222723508711,0.5685811757780537,0.5668906074389202
cd278_icos,0.5336135724445511,0.4601463676903431,0.3662047310142637,0.6478255118676902,0.7780166303547275,0.34815786604822996,0.4511524578237421,0.7275860082935418,0.6859770268975248,0.7084498630638447,0.6454996618923254,1.0,0.47295505987739184,0.6909206687262177,0.49292236924330707,0.7371823809073176,0.583777951567926,0.5042559374710265,0.7883102545303822,0.4995399901699157,0.646850750108792,0.7512861366623849,0.6331188618533934,0.6647702710728762,0.6615590302797403,0.47585036192773933,0.6584579928708215,0.45559307646099945,0.6224616887715709,0.4094952909149392,0.36774077009199535,0.7390088995166046,0.3816222971388413,0.36588445317803536,0.7443814643277674,0.3183213006396627,0.5363416156278803,0.4699579689278957,0.4691842678136417
cd279_pd_1,0.6705374296852605,0.6456164817947162,0.3047861099625765,0.7703536235295853,0.4569875556118652,0.5128232976714591,0.42288321611687935,0.534130859506687,0.3328404826390414,0.6397304655841268,0.5721202938141609,0.47295505987739184,1.0,0.7356995856225698,0.6529909269196578,0.7659625568599538,0.6343227804862818,0.42173335635530057,0.657455302692821,0.8619600128566619,0.7717171297040732,0.6101416600136897,0.6992355464288093,0.7551003196605343,0.6804853407863456,0.7454072643735916,0.7554339743704613,0.544618712052785,0.7058780512172446,0.4316802605949245,0.2345400947516567,0.7247642311027537,0.27969387575916904,0.5575223129189975,0.6065091915363945,0.5867418160892026,0.7840199938713301,0.7194714480759447,0.719190821402974
cd3,0.7565315492547338,0.6814841713287448,0.4243486790007595,0.9024662172508571,0.7037887417665852,0.48631452925660723,0.4236830237104487,0.7641365416813976,0.6536283181703793,0.7947968636025755,0.7442198870361373,0.6909206687262177,0.7356995856225698,1.0,0.7159433815430187,0.9085705066424988,0.8175738678217446,0.703534533220525,0.8359179247290749,0.719635854168823,0.9102476741350416,0.8100185472271665,0.8583899937628529,0.9315689724373473,0.8847635310943092,0.8166934154197117,0.9338746851834883,0.6091492542063286,0.8127627721125505,0.5588435069392232,0.4709544261539936,0.9001879294930878,0.5734298849546909,0.5127563413842895,0.7756495470052375,0.4723102130572791,0.7951917450785001,0.7859956957871178,0.7852496354172629
cd31_v_wf,0.6610129757472845,0.7419953944478662,0.4318707731671181,0.704378594772603,0.4887655896465395,0.32660424645019903,0.3624134421279106,0.6664903260690876,0.4966360818513641,0.5476674885572892,0.5322963818972782,0.49292236924330707,0.6529909269196578,0.7159433815430187,1.0,0.6884923586107301,0.5646254568259303,0.5103838641341144,0.6395695115876868,0.5795612397413253,0.7263206231657366,0.6099575482036422,0.7355089531859165,0.7669383254803134,0.68841051515767,0.6129419095475218,0.7292967618076831,0.499721608799202,0.6665246312774441,0.6776997386894847,0.4593035527286455,0.7134705058214272,0.46019582376640145,0.40670733947466886,0.6329037291211843,0.3622924269694315,0.6410343991221606,0.6748364164769761,0.6744317300882509
cd38,0.7355329260778497,0.6706513968135113,0.41276852560661453,0.8824717226254896,0.7131061897827174,0.4878856886210211,0.4439535901593196,0.7636154189565523,0.5983783537251747,0.8062887727815141,0.7430836199042846,0.7371823809073176,0.7659625568599538,0.9085705066424988,0.6884923586107301,1.0,0.7825352088365518,0.6039307631716208,0.8791090211011193,0.7246813807882323,0.8831528644039892,0.812613924426537,0.8334222268143628,0.8954814754571825,0.8412307011477561,0.8184584915069737,0.8898992677060633,0.5880354412837052,0.8126655620357612,0.5367732235742467,0.3859657536450932,0.8840526629298122,0.43996984689652635,0.49667460628870086,0.8015867777035084,0.4630490294185141,0.7921539961042852,0.8038520961267418,0.8032603972080451
cd4,0.6643883829043794,0.547854333277017,0.47778327223142614,0.795027267066946,0.5016599849222496,0.49745979041819094,0.3324161384789308,0.5735624550470818,0.555737267412755,0.854146743944882,0.7939698228037699,0.583777951567926,0.6343227804862818,0.8175738678217446,0.5646254568259303,0.7825352088365518,1.0,0.7331665139693337,0.7317904220265807,0.6562741583072693,0.7522981043495636,0.6471950008369536,0.6273666143797916,0.7359891062384477,0.7434159321322634,0.7754925964817504,0.7593987550757355,0.555883478080656,0.7483045322010776,0.4184924371219512,0.44113972402286944,0.748309782264411,0.4794695014771197,0.4943825580909619,0.607210182869415,0.4638410697950971,0.7059902922972761,0.6390783310048663,0.6378450216064678
cd45,0.4651188489080318,0.37915342489020265,0.4063093654956848,0.6181059341717573,0.4368715184243961,0.24326649111717452,0.275290151402597,0.5067379228915527,0.6948575929310654,0.6731463036227894,0.6585289766038359,0.5042559374710265,0.42173335635530057,0.703534533220525,0.5103838641341144,0.6039307631716208,0.7331665139693337,1.0,0.6144919967399264,0.5083187193585238,0.5913987661032657,0.6184305990472094,0.4855089681689739,0.6298808433399681,0.673052713452682,0.5388613583532014,0.6791562836575658,0.5110546975690828,0.6671178644612246,0.36392517269322194,0.4679918801417733,0.6992347313504835,0.8328807031584825,0.30919271106618057,0.5356132472522721,0.2556662297407338,0.5453376830547554,0.4192512270974228,0.4178782276577292
cd45ra,0.6120789573566003,0.5637589326741108,0.3802562738107003,0.8048819715641946,0.7717267188608465,0.40027387830389155,0.4112021608205873,0.7975450200422366,0.7249059108940792,0.7811844562405723,0.7182206864122188,0.7883102545303822,0.657455302692821,0.8359179247290749,0.6395695115876868,0.8791090211011193,0.7317904220265807,0.6144919967399264,1.0,0.6438587893581695,0.795086528055805,0.8605252352744563,0.7408250858094684,0.8053646897161627,0.7787263717933036,0.7059622440137142,0.8316345922357916,0.5244086771560454,0.7502966795207315,0.5116591260933961,0.36769455035634807,0.8500424889543402,0.46787498832070673,0.40474005204394975,0.8504470794514979,0.35868258890212124,0.6875019425533995,0.6728751222692404,0.6719383095982725
cd57,0.6566309948036959,0.5763409371950386,0.32832849670249875,0.7286936997382101,0.4290214750963905,0.5274467857236395,0.3849111861289491,0.5025965338914062,0.33334259486058354,0.6761210278641118,0.6234176797560854,0.4995399901699157,0.8619600128566619,0.719635854168823,0.5795612397413253,0.7246813807882323,0.6562741583072693,0.5083187193585238,0.6438587893581695,1.0,0.7159059119129271,0.5844008392190279,0.6062108488962851,0.6873213068126823,0.6662088603448992,0.7317900624332018,0.7011822651182495,0.5320414781373518,0.7154970542410054,0.44978650641427687,0.25796678831510905,0.6986787040949834,0.3240292701818637,0.5925994244228511,0.5820528382915168,0.5949809154803931,0.747056575365708,0.6403896721665076,0.639655310567916
