,c_erb_b_2_her2,c_myc,carbonic_anhydrase_ix,cd20,cd3,cd44,cd45,cd68,cleaved_parp,cytokeratin_19,cytokeratin_5,cytokeratin_7,cytokeratin_8_18,dna1,dna2,e_cadherin_p_cadherin,egfr,fibronectin,gata3,histone_h3,histone_h3_phospho,histone_h3_trimethylate,keratin_14_krt14,ki_67,m_tor,p53,pan_cytokeratin,progesterone_receptor_a_b,rabbit_ig_g_h_l,s6,slug,sma,twist,v_wf,vimentin
cytokeratin_5,0.2233856734258684,0.44178306081347357,0.2382927777200206,0.3816626632882747,0.22253239170327532,0.1916950247697705,0.49115610999760645,0.51618101274392,0.35168903481307223,0.543124877601793,1.0,0.5050875645839428,0.24154237456148198,0.524162524268089,0.41295130183337403,0.3514045874243549,0.37885868658564004,0.25640230265782415,0.3199452562686015,0.3404522749746742,0.2913329678512798,0.2379139174921242,0.25793566508465726,0.2106747858484704,0.11704680628322885,0.18782032064099186,0.3873325713415327,0.24869970793672286,0.4778708877224625,0.33747464392699383,0.17184756617965277,0.09886758992188274,0.17710588381780862,0.17606598260676146,0.1751356051246467
cytokeratin_7,0.4023064657683948,0.5704685161589811,0.4020485531020843,0.25841057012782603,0.40029526678578076,0.3518145458633637,0.8397981850008099,0.4820807513859708,0.5282707823088956,0.3486675217415482,0.5050875645839428,1.0,0.5323554975834666,0.7219797260214357,0.6163319403107766,0.620867564535588,0.7124105737544396,0.44479994995273314,0.7827047706892258,0.557054941986272,0.2971116440889826,0.5252192590103213,0.5357546922334863,0.5670124138981502,0.47012685894165746,0.5548720530742803,0.7799296255642406,0.47509278086308565,0.7219580872273089,0.6468438186789939,0.3531484747672319,0.3590596735080716,0.4448887113191444,0.298244719046249,0.2960818369522907
cytokeratin_8_18,0.6797220926043679,0.5933567693159482,0.29100835571759803,-0.11274482663578404,0.4736852014825596,0.49165461825057,0.6108840112279955,0.37523319125067395,0.4697864105955141,0.2591546907828408,0.24154237456148198,0.5323554975834666,1.0,0.4370604544388541,0.6436051318999345,0.42461494430730473,0.5519111951142263,0.6223140695681186,0.5838943603741699,0.43811740073354305,0.147869878315027,0.6189166882248693,0.33593795710441504,0.6234376851083995,0.694826424231581,0.6267928768474574,0.5722483371976915,0.5046391035978424,0.618010367279242,0.6991388001711761,0.3664319744009439,0.6017153277612431,0.7129362513871796,0.5345747432962049,0.5346169026786167
dna1,0.5179590204758601,0.6207791960523102,0.2004928870019753,0.28832357371333794,0.2794855467361687,0.23521387348921324,0.7643886194449347,0.5865446291062332,0.3355730593386508,0.24043716408492077,0.524162524268089,0.7219797260214357,0.4370604544388541,1.0,0.6763959439954159,0.4683373669335048,0.5952479273903615,0.3892738673481477,0.7221254252204377,0.7955604810340201,0.4129011034576133,0.4205253935480127,0.4614544170944056,0.4150224306047499,0.3336484457543235,0.5547215486123368,0.6418590383671535,0.35589312611669477,0.7534039092476228,0.6170885425607276,0.24096117951978802,0.2584311813814496,0.42777768375446373,0.3906726219690577,0.388584145896245
dna2,0.6576625810850344,0.661927629717922,0.2627854447074411,0.07246554112700643,0.33403960624647916,0.2877944205759546,0.6921944698978988,0.4341928004467988,0.3551826725240505,0.28574707634505053,0.41295130183337403,0.6163319403107766,0.6436051318999345,0.6763959439954159,1.0,0.39660020091439013,0.583495432884681,0.534750331835139,0.6552743049595149,0.6911490985447609,0.2021229289014504,0.47355370651992584,0.3365918355258227,0.4835063429470829,0.47696976492291027,0.5120422307058116,0.6271122606132845,0.4492079778244671,0.7636868999465679,0.7432859899083434,0.27304628284200777,0.37324278485236057,0.6095716908964747,0.45723971794617624,0.4564133638291236
e_cadherin_p_cadherin,0.19254525409263337,0.3417928828918133,0.28710485023294946,0.034077987906452716,0.2350682649555498,0.2224618540699066,0.5919493712660991,0.3113519954836573,0.3576363485804226,0.13151572499631295,0.3514045874243549,0.620867564535588,0.42461494430730473,0.4683373669335048,0.39660020091439013,1.0,0.5155090314765878,0.20739656898181616,0.5868227601430336,0.21522618584218428,0.36119172938693306,0.3812893034242485,0.47983578693887224,0.38122985718395874,0.33662006266788197,0.46433446201605866,0.5398017511707918,0.2904260424700623,0.5637871758109713,0.46050581587924827,0.2513529081813984,0.1445447874683578,0.20311526103155395,0.1491911442932818,0.14742595059585262
egfr,0.47106340166679156,0.5981103530145621,0.3515770328982203,0.2506566588251223,0.5131096941797688,0.5356172738020691,0.7998269500905445,0.3697632304906325,0.4447233075199041,0.29861974110814804,0.37885868658564004,0.7124105737544396,0.5519111951142263,0.5952479273903615,0.583495432884681,0.5155090314765878,1.0,0.5604147576575945,0.7151629316576767,0.4770897756093315,0.3146152525694557,0.7435286707977824,0.5220845351527651,0.4812814457615768,0.535134178656654,0.5010320435483754,0.6390362334958862,0.458745034561627,0.6683448619348225,0.685335818369523,0.3272006593183417,0.512006417897096,0.4683130988445609,0.2798460019003455,0.27799863518443746
fibronectin,0.5434405440887408,0.6161039169843983,0.3162919266747097,0.15406213960527937,0.5307910671673005,0.5855684354063863,0.5576606771129254,0.30484473258560624,0.47120928219647057,0.378541992558189,0.25640230265782415,0.44479994995273314,0.6223140695681186,0.3892738673481477,0.534750331835139,0.20739656898181616,0.5604147576575945,1.0,0.5541737184152182,0.38155673595110356,0.09454687277114376,0.6069012642374804,0.35626660686783895,0.5567163673904582,0.546376952629174,0.42023937462676103,0.5313239980271223,0.5812320331520833,0.5109644616050425,0.6923094335471424,0.3846015500146273,0.5883905451767248,0.6746735745595478,0.42348975723448956,0.4237237644732102
gata3,0.5676048514418206,0.6429138993590565,0.37618702083368594,0.2584892676416616,0.43068562337860156,0.3776225553602557,0.8490089371846358,0.44651171154399444,0.47181912748513694,0.22449169989047627,0.3199452562686015,0.7827047706892258,0.5838943603741699,0.7221254252204377,0.6552743049595149,0.5868227601430336,0.7151629316576767,0.5541737184152182,1.0,0.5969296183110135,0.3143354895565619,0.5711061050412346,0.6143232195140821,0.6811404309383984,0.5582268217084251,0.6899519836367197,0.8451742164701445,0.587342967633683,0.7834581996523287,0.7941927339588839,0.36925453749797515,0.4254874470816641,0.6102184974214778,0.3395092950105051,0.33748189715407545
histone_h3,0.5896938594179527,0.5814408354266952,0.10453737708802274,0.1867880050966009,0.23133239968182512,0.17773757945305832,0.6393149387464973,0.3940736299258478,0.164030733132016,0.16987722704293184,0.3404522749746742,0.557054941986272,0.43811740073354305,0.7955604810340201,0.6911490985447609,0.21522618584218428,0.4770897756093315,0.38155673595110356,0.5969296183110135,1.0,0.09485081320764296,0.3525928775727801,0.17880072121254614,0.3657509568215392,0.383969340609126,0.5993764038016581,0.45718553029552067,0.2821031155028058,0.6269334383439432,0.5444301260369092,0.1766255690761081,0.28212913645496107,0.4742826256198487,0.5157071050194749,0.5143788880319335
